Job;Standard;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created;;;Functietitel;Gestandaardiseerde titel
Procescoîrdinator Infra;;Netherlands;Noord-Holland;Zaanstad;150;4;1;0;10.77;43.08;0;0.026667;0;0.25;0;43.08;17-9-2025;16-9-2025;;;Digital Customer Journey Expert;Digitale specialist
Procurement Manager (packaging);;Netherlands;Utrecht (provincie);Amersfoort;976;59;7;0;0.3547457627118644;29.899.999.999.999.900;0;0.060451;0;0.118644;0;20.93;11-6-2025;11-6-2025;;;GMP and Documentation specialist;Documentatiespecialist
Product Developer;;Netherlands;Gelderland;Wageningen;29;1;0;0;0;0;0;0.034483;0;0;0;0;20-8-2025;20-8-2025;;;Domein Architect;Domeinarchitect
Project Coîrdinator;;Netherlands;Zuid-Holland;Dordrecht;817;71;2;0;0.34647887323943666;12.3;0;0.086903;0;0.028169;0;24.6;29-5-2025;23-5-2025;;;Domein Architect;Domeinarchitect
Project Coîrdinator;;Netherlands;Zuid-Holland;Dordrecht;260;32;1;0;0.5775;18.48;0;0.123077;0;0.03125;0;18.48;28-6-2025;23-6-2025;;;Senior EHS Specialist;EHS-specialist
Project Coîrdinator;;Netherlands;Zuid-Holland;Dordrecht;162;19;1;0;0;0;0;0.117284;0;0.052632;0;0;17-9-2025;16-9-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Coordinator Meet en Regeltechniek;;Netherlands;Noord-Holland;Amsterdam;161;7;1;0;0.7285714285714285;5.1;0;0.043478;0;0.142857;0;5.1;22-5-2025;30-4-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Coordinator Meet en Regeltechniek;;Netherlands;Noord-Holland;Amsterdam;564;22;2;0;0.6595454545454545;7.255;0;0.039007;0;0.090909;0;14.51;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Coordinator Meet en Regeltechniek;;Netherlands;Noord-Holland;Velsen-Noord;99;3;0;0;0;0;0;0.030303;0;0;0;0;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Coordinator Meet en Regeltechniek;;Netherlands;Noord-Holland;Diemen;485;11;1;0;16.600.000.000.000.000;18.26;0;0.02268;0;0.090909;0;18.26;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer Bouwkunde;;Netherlands;Noord-Holland;Amsterdam;85;6;0;0;0;0;0;0.070588;0;0;0;0;19-6-2025;3-6-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer Civiele Techniek;;Netherlands;Noord-Holland;Amsterdam;77;4;1;0;28.925;11.57;0;0.051948;0;0.25;0;11.57;19-6-2025;3-6-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Groningen (provincie);Groningen;136;12;1;0;0.35083333333333333;4.21;0;0.088235;0;0.083333;0;4.21;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Meppel;12;2;0;0;0;0;0;0.166667;0;0;0;0;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Friesland;Drachten;10;1;0;0;0;0;0;0.1;0;0;0;0;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Friesland;Leeuwarden;157;7;0;0;0;0;0;0.044586;0;0;0;0;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Emmen;139;8;0;0;0;0;0;0.057554;0;0;0;0;22-5-2025;14-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Groningen (provincie);Stadskanaal;134;11;1;0;0.8581818181818182;9.44;0;0.08209;0;0.090909;0;9.44;22-5-2025;16-5-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Groningen (provincie);Groningen;141;8;3;0;5.83;15.546.666.666.666.600;0;0.056738;0;0.375;0;46.64;19-6-2025;2-6-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Assen;125;7;1;0;1.502.857.142.857.140;10.52;0;0.056;0;0.142857;0;10.52;19-6-2025;2-6-2025;;;Electrical Engineer;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Friesland;Leeuwarden;128;6;1;0;2.151.666.666.666.660;12.91;0;0.046875;0;0.166667;0;12.91;19-6-2025;2-6-2025;;;Junior Project Engineer Duurzame Energie;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Wijster;182;8;0;0;0;0;0;0.043956;0;0;0;0;19-6-2025;2-6-2025;;;Medior Project Engineer Duurzame Energie;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Meppel;156;8;0;0;0;0;0;0.051282;0;0;0;0;19-6-2025;2-6-2025;;;Medior Project Engineer Duurzame Energie;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Groningen (provincie);Veendam;147;9;1;0;0.8611111111111112;7.75;0;0.061224;0;0.111111;0;7.75;19-6-2025;2-6-2025;;;Medior Project Engineer Duurzame Energie;Elektrisch ingenieur
Project Engineer CT;;Netherlands;Drenthe;Coevorden;136;5;1;0;17.260.000.000.000.000;8.63;0;0.036765;0;0.2;0;8.63;19-6-2025;2-6-2025;;;Medior Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Friesland;Drachten;165;9;0;0;0;0;0;0.054545;0;0;0;0;19-6-2025;2-6-2025;;;Medior Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Groningen (provincie);Veendam;91;3;0;0;0;0;0;0.032967;0;0;0;0;28-6-2025;25-6-2025;;;Medior Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Groningen (provincie);Groningen;35;2;0;0;0;0;0;0.057143;0;0;0;0;28-6-2025;25-6-2025;;;Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Drenthe;Assen;41;2;0;0;0;0;0;0.04878;0;0;0;0;28-6-2025;25-6-2025;;;Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Friesland;Drachten;69;3;0;0;0;0;0;0.043478;0;0;0;0;28-6-2025;25-6-2025;;;Project Engineer Energie opwek Elektrotechniek;Elektrotechniek
Project Engineer CT;;Netherlands;Drenthe;Coevorden;59;4;0;0;0;0;0;0.067797;0;0;0;0;28-6-2025;25-6-2025;;;Adviseur Ruimtelijke Ordening Energie-Infrastructuur;Energieconsultant
Project Engineer CT;;Netherlands;Friesland;Leeuwarden;48;3;1;0;33.800.000.000.000.000;10.14;0;0.0625;0;0.333333;0;10.14;28-6-2025;25-6-2025;;;Carriäre in de energietransitie;Energiespecialist
Project Engineer CT;;Netherlands;Overijssel;Zwolle;93;6;0;0;0;0;0;0.064516;0;0;0;0;28-6-2025;25-6-2025;;;Enterprise Architect;Enterprise-architect
Project Engineer CT;;Netherlands;Drenthe;Wijster;107;3;0;0;0;0;0;0.028037;0;0;0;0;28-6-2025;25-6-2025;;;Business Support Vermogen;Equity-specialist
Project Engineer CT;;Netherlands;Friesland;Heerenveen;69;3;0;0;0;0;0;0.043478;0;0;0;0;28-6-2025;25-6-2025;;;Process/ Manufacturing Engineer;Fabricage-ingenieur
Project Engineer CT;;Netherlands;Drenthe;Emmen;33;3;0;0;0;0;0;0.090909;0;0;0;0;28-6-2025;25-6-2025;;;Process/Manufacturing Engineer;Fabricage-ingenieur
Project Engineer CT;;Netherlands;Drenthe;Beilen;57;2;0;0;0;0;0;0.035088;0;0;0;0;28-6-2025;25-6-2025;;;Assetmanagement Water;Facilitair manager
Project Engineer CT;;Netherlands;Groningen (provincie);Delfzijl;55;1;1;0;8.35;8.35;0;0.018182;0;1;0;8.35;28-6-2025;25-6-2025;;;Project & Operations Manager (Sales Enablement);Facilitair manager
Project Engineer CT;;Netherlands;Drenthe;Meppel;46;4;0;0;0;0;0;0.086957;0;0;0;0;28-6-2025;25-6-2025;;;Field Manager;Field Manager
Project Engineer CT;;Netherlands;Friesland;Leeuwarden;70;4;0;0;0;0;0;0.057143;0;0;0;0;8-8-2025;30-7-2025;;;Financial Accountant;Financieel accountant
Project Engineer WTB;;Netherlands;Groningen (provincie);Stadskanaal;27;1;1;0;0;0;0;0.037037;0;1;0;0;28-6-2025;25-6-2025;;;Financieel Adviseur Klantbeheer;Financieel adviseur
Project engineer WTB;;Netherlands;Groningen (provincie);Stadskanaal;8;1;0;0;0;0;0;0.125;0;0;0;0;22-5-2025;15-5-2025;;;Financieringsassistent;Financieel adviseur
Project engineer WTB;;Netherlands;Drenthe;Wijster;11;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025;;;Medior Subsidieadviseur;Financieel adviseur
Project engineer WTB;;Netherlands;Drenthe;Meppel;11;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025;;;Medior/Senior CDD Analist;Financieel analist
Project engineer WTB;;Netherlands;Drenthe;Coevorden;20;1;0;0;0;0;0;0.05;0;0;0;0;22-5-2025;15-5-2025;;;Financieel Coach;Financieel coach
Project engineer WTB;;Netherlands;Groningen (provincie);Veendam;13;0;0;0;0;0;0;0;0;0;0;0;22-5-2025;15-5-2025;;;Financieel Coach;Financieel coach
Project engineer WTB;;Netherlands;Groningen (provincie);Groningen;130;13;2;0;1.506.153.846.153.840;9.79;0;0.1;0;0.153846;0;19.58;22-5-2025;15-5-2025;;;Financieel Coach Utrecht;Financieel coach
Project engineer WTB;;Netherlands;Drenthe;Assen;99;8;1;0;1.185;9.48;0;0.080808;0;0.125;0;9.48;22-5-2025;15-5-2025;;;Financieel Coach Utrecht;Financieel coach
Project engineer WTB;;Netherlands;Friesland;Heerenveen;122;9;1;0;0.38333333333333336;3.45;0;0.07377;0;0.111111;0;3.45;22-5-2025;15-5-2025;;;Financieel Coach Utrecht;Financieel coach
Project engineer WTB;;Netherlands;Friesland;Leeuwarden;216;12;0;0;0;0;0;0.055556;0;0;0;0;22-5-2025;15-5-2025;;;Financieel Coach Utrecht;Financieel coach
Project engineer WTB;;Netherlands;Overijssel;Zwolle;4;1;0;0;0;0;0;0.25;0;0;0;0;22-5-2025;15-5-2025;;;Financial Controller;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Emmen;135;7;0;0;0;0;0;0.051852;0;0;0;0;22-5-2025;15-5-2025;;;Financial Controller;Financieel controller
Project engineer WTB;;Netherlands;Groningen (provincie);Groningen;203;12;0;0;0;0;0;0.059113;0;0;0;0;19-6-2025;2-6-2025;;;Financieel controller;Financieel controller
Project engineer WTB;;Netherlands;Drenthe;Assen;115;5;1;0;2.566;12.83;0;0.043478;0;0.2;0;12.83;19-6-2025;2-6-2025;;;Financieel controller;Financieel controller
Project engineer WTB;;Netherlands;Friesland;Heerenveen;118;7;1;0;14.828.571.428.571.400;10.38;0;0.059322;0;0.142857;0;10.38;19-6-2025;2-6-2025;;;Projectcontroller;Financieel controller
