Job;Country;State/Region;City;Impressions;Clicks;Apply starts;Applies;Cost per click (CPC);Cost per apply start (CPAS);Cost per apply (CPA);Clickthrough rate (CTR);Apply completion rate (ACR);Apply start rate (ASR);Apply rate (AR);Spend;Last updated;Created
ERP Planner;Netherlands;Overijssel;Hengelo OV;541;72;1;0;0.02361111111111111;1.7;0;0.133087;0;0.013889;0;1.7;22-5-2025;28-4-2025
Electrical Designer;Netherlands;Noord-Brabant;Eindhoven;8;0;0;0;0;0;0;0;0;0;0;0;19-9-2025;20-8-2025
Electrical Engineer;Netherlands;Overijssel;Enschede;106;12;1;0;12.225;14.67;0;0.113208;0;0.083333;0;14.67;22-5-2025;30-4-2025
Electrical Engineer;Netherlands;Gelderland;Lochem;161;11;1;0;1.018.181.818.181.810;11.2;0;0.068323;0;0.090909;0;11.2;19-6-2025;18-6-2025
Electrical Engineer;Netherlands;Noord-Brabant;Boxmeer;62;8;0;0;0;0;0;0.129032;0;0;0;0;8-8-2025;30-7-2025
Electrical Engineer;Netherlands;Overijssel;Hengelo OV;31;7;0;0;0;0;0;0.225806;0;0;0;0;6-9-2025;7-8-2025
Electrical Engineer;Netherlands;Overijssel;Hengelo OV;55;8;1;0;4.515;36.12;0;0.145455;0;0.125;0;36.12;9-9-2025;9-9-2025
Electrical Engineer;Netherlands;Gelderland;Wijchen;100;14;1;0;0.7028571428571428;9.84;0;0.14;0;0.071429;0;9.84;1-10-2025;10-9-2025
Electrical Engineer Energietransitie;Netherlands;Zuid-Holland;Rotterdam;23;1;0;0;0;0;0;0.043478;0;0;0;0;9-9-2025;2-9-2025
Electrical Engineer Energietransitie;Netherlands;Zuid-Holland;Rotterdam;45;4;1;0;7.58;30.32;0;0.088889;0;0.25;0;30.32;24-10-2025;2-10-2025
Electrical Engineer Energietransitie;Netherlands;Noord-Holland;Haarlem;70;4;1;0;6.89;27.56;0;0.057143;0;0.25;0;27.56;24-10-2025;2-10-2025
Electrical Engineer Energietransitie;Netherlands;Zuid-Holland;Den Haag;69;5;1;0;0;0;0;0.072464;0;0.2;0;0;24-10-2025;2-10-2025
Electrical Engineer Energietransitie;Netherlands;Noord-Holland;Amsterdam;66;4;0;0;0;0;0;0.060606;0;0;0;0;24-10-2025;2-10-2025
Electrical Engineer Energietransitie;Netherlands;Utrecht (provincie);Utrecht;54;3;0;0;0;0;0;0.055556;0;0;0;0;24-10-2025;2-10-2025
Electrical Engineer Energietransitie;Netherlands;Zuid-Holland;Leiden;77;4;1;0;85.425;34.17;0;0.051948;0;0.25;0;34.17;24-10-2025;2-10-2025
Electrical Engineer Maritiem;Netherlands;Zuid-Holland;Schiedam;55;4;1;0;2.285;9.14;0;0.072727;0;0.25;0;9.14;26-9-2025;27-8-2025
Electrical engineer;Netherlands;;;110;6;0;0;0;0;0;0.054545;0;0;0;0;14-9-2025;15-8-2025
Elektromonteur;Netherlands;Gelderland;Apeldoorn;42;9;1;0;22.544.444.444.444.400;20.29;0;0.214286;0;0.111111;0;20.29;9-9-2025;26-8-2025
Elektrotechnisch Monteur;Netherlands;Overijssel;Hengelo OV;30;5;0;0;0;0;0;0.166667;0;0;0;0;22-5-2025;25-4-2025
Embedded Software Engineer;Netherlands;Noord-Brabant;Eindhoven;359;45;5;0;0.18933333333333333;1.704;0;0.125348;0;0.111111;0;8.52;22-5-2025;16-5-2025
